readoutName,channelName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
RS0015,bit1,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,650,"[7,8,9,10,11,12,13]","[9,7.5,6,4.5,3,1.5,0]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
RS0083,bit2,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,750,"[0,1,2,3,4,5,6]","[0,1.5,3,4.5,6,7.5,9]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
RS0095,bit3,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,1,750,"[0,1,2,3,4,5,6]","[0,1.5,3,4.5,6,7.5,9]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,14,561
RS0109,bit4,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,1,650,"[7,8,9,10,11,12,13]","[9,7.5,6,4.5,3,1.5,0]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,14,561
RS0175,bit5,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,2,650,"[7,8,9,10,11,12,13]","[9,7.5,6,4.5,3,1.5,0]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,14,561
RS0237,bit6,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,2,750,"[0,1,2,3,4,5,6]","[0,1.5,3,4.5,6,7.5,9]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,14,561
RS0247,bit7,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,3,650,"[7,8,9,10,11,12,13]","[9,7.5,6,4.5,3,1.5,0]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,14,561
RS0255,bit8,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,3,750,"[0,1,2,3,4,5,6]","[0,1.5,3,4.5,6,7.5,9]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,14,561
RS0307,bit9,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,4,750,"[0,1,2,3,4,5,6]","[0,1.5,3,4.5,6,7.5,9]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,14,561
RS0332,bit10,hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,4,650,"[7,8,9,10,11,12,13]","[9,7.5,6,4.5,3,1.5,0]",hal-config-9hybs-750z7-647z7-560z1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,14,561
