readoutName,channelName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
RS0015,bit01,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),1,-1,650,"[2, 8, 13, 18, 23, 28, 33]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,3,561
RS0083,bit02,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),2,-1,750,"[1, 7, 12, 17, 22, 27, 32]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,3,561
RS0095,bit03,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,750,"[1, 5, 8, 11, 14, 17, 20]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,3,561
RS0109,bit04,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,650,"[2, 6, 9, 12, 15, 18, 21]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,3,561
RS0175,bit05,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,650,"[2, 6, 9, 12, 15, 18, 21]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,3,561
RS0237,bit06,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,750,"[1, 5, 8, 11, 14, 17, 20]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,3,561
RS0247,bit07,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,2,650,"[2, 6, 9, 12, 15, 18, 21]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,3,561
RS0255,bit08,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,2,750,"[1, 5, 8, 11, 14, 17, 20]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,3,561
RS0307,bit09,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,3,750,"[1, 5, 8, 11, 14, 17, 20]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,3,561
RS0332,bit10,hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,3,650,"[2, 6, 9, 12, 15, 18, 21]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-mf3,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,3,561
