readoutName,channelName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
RS0015,bit01,hal-config-750z7dz15-647z7dz15-560z3dz05-488z7dz15-455z7dz15,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),1,-1,650,"[7,8,9,10,11,12,13]","[9.0,7.5,6.0,4.5,3.0,1.5,0.0]",hal-config-750z7dz15-647z7dz15-560z3dz05-488z7dz15-455z7dz15,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,14,561
RS0083,bit02,hal-config-750z7dz15-647z7dz15-560z3dz05-488z7dz15-455z7dz15,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),2,-1,750,"[0,1,2,3,4,5,6]","[0.0,1.5,3.0,4.5,6.0,7.5,9.0]",hal-config-750z7dz15-647z7dz15-560z3dz05-488z7dz15-455z7dz15,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,14,561
RS0095,bit03,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,750,"[0,1,2,3,4,5,6]","[0.0,1.5,3.0,4.5,6.0,7.5,9.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
RS0109,bit04,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,650,"[7,8,9,10,11,12,13]","[9.0,7.5,6.0,4.5,3.0,1.5,0.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
RS0175,bit05,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,650,"[7,8,9,10,11,12,13]","[9.0,7.5,6.0,4.5,3.0,1.5,0.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,14,561
RS0237,bit06,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,750,"[0,1,2,3,4,5,6]","[0.0,1.5,3.0,4.5,6.0,7.5,9.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,14,561
RS0247,bit07,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,2,650,"[7,8,9,10,11,12,13]","[9.0,7.5,6.0,4.5,3.0,1.5,0.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,14,561
RS0255,bit08,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,2,750,"[0,1,2,3,4,5,6]","[0.0,1.5,3.0,4.5,6.0,7.5,9.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,14,561
RS0307,bit09,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,3,750,"[0,1,2,3,4,5,6]","[0.0,1.5,3.0,4.5,6.0,7.5,9.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,14,561
RS0332,bit10,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,3,650,"[7,8,9,10,11,12,13]","[9.0,7.5,6.0,4.5,3.0,1.5,0.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,14,561
RS0343,bit11,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,4,650,"[7,8,9,10,11,12,13]","[9.0,7.5,6.0,4.5,3.0,1.5,0.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,14,561
RS0384,bit12,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,4,750,"[0,1,2,3,4,5,6]","[0.0,1.5,3.0,4.5,6.0,7.5,9.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,14,561
RS0406,bit13,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,5,650,"[7,8,9,10,11,12,13]","[9.0,7.5,6.0,4.5,3.0,1.5,0.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,14,561
RS0451,bit14,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,5,750,"[0,1,2,3,4,5,6]","[0.0,1.5,3.0,4.5,6.0,7.5,9.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,14,561
RS0468,bit15,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,6,750,"[0,1,2,3,4,5,6]","[0.0,1.5,3.0,4.5,6.0,7.5,9.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,14,561
RS0548,bit16,hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,6,650,"[7,8,9,10,11,12,13]","[9.0,7.5,6.0,4.5,3.0,1.5,0.0]",hal-config-750z7dz15-647z7dz15-560z3dz05,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,14,561
polyT,polyT,hal-config-750z7dz15-647z7dz15-560z3dz05-488z7dz15-455z7dz15,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),25,-1,488,"[17,18,19,20,21,22,23]","[0.0,1.5,3.0,4.5,6.0,7.5,9.0]",hal-config-750z7dz15-647z7dz15-560z3dz05-488z7dz15-455z7dz15,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,14,561
