readoutName,channelName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
RS0015,bit01,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_c1,1,-1,650,"[2, 6, 10, 14, 18, 22]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_c1,-1,0,561
RS0083,bit02,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_c1,2,-1,750,"[1, 5,  9, 13, 17, 21]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_c1,-1,0,561
RS0095,bit03,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,3,0,750,"[1, 3, 5, 7,  9, 11]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,0,0,561
RS0109,bit04,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,4,0,650,"[2, 4, 6, 8, 10, 12]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,0,0,561
RS0175,bit05,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,5,1,650,"[2, 4, 6, 8, 10, 12]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,1,0,561
RS0237,bit06,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,6,1,750,"[1, 3, 5, 7,  9, 11]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,1,0,561
RS0247,bit07,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,7,2,650,"[2, 4, 6, 8, 10, 12]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,2,0,561
RS0255,bit08,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,8,2,750,"[1, 3, 5, 7,  9, 11]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,2,0,561
RS0307,bit09,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,9,3,750,"[1, 3, 5, 7,  9, 11]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,3,0,561
RS0332,bit10,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,10,3,650,"[2, 4, 6, 8, 10, 12]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,3,0,561
RS0343,bit11,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,11,4,650,"[2, 4, 6, 8, 10, 12]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,4,0,561
RS0384,bit12,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,12,4,750,"[1, 3, 5, 7,  9, 11]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,4,0,561
RS0406,bit13,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,13,5,650,"[2, 4, 6, 8, 10, 12]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,5,0,561
RS0451,bit14,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,14,5,750,"[1, 3, 5, 7,  9, 11]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,5,0,561
RS0468,bit15,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,15,6,750,"[1, 3, 5, 7,  9, 11]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,6,0,561
RS0548,bit16,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,16,6,650,"[2, 4, 6, 8, 10, 12]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,6,0,561
RS0578,bit17,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,17,7,650,"[2, 4, 6, 8, 10, 12]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,7,0,561
RS0584,bit18,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,18,7,750,"[1, 3, 5, 7,  9, 11]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,7,0,561
RS0639,bit19,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,19,8,650,"[2, 4, 6, 8, 10, 12]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,8,0,561
RS0707,bit20,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,20,8,750,"[1, 3, 5, 7,  9, 11]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+)_c1,8,0,561
polyT,polyT,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_c1,48,-1,488,"[3, 7, 11, 15, 19, 23]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_c1,-1,0,561
DAPI,DAPI,hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_c1,47,-1,405,"[4, 8, 12, 16, 20, 24]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal-bc106-s2,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_c1,-1,0,561
