readoutName,channelName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
polyT,polyT,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),48,-1,488,"[5, 10, 15, 20, 25, 30]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,1,561
DAPI,DAPI,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),47,-1,405,"[6, 11, 16, 21, 26, 31]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,1,561
RS0015,bit01,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),1,-1,650,"[4, 9, 14, 19, 24, 29]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,1,561
RS0083,bit02,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),2,-1,750,"[3, 8, 13, 18, 23, 28]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+),-1,1,561
RS0095,bit03,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,750,"[3, 6,  9, 12, 15, 18]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,1,561
RS0109,bit04,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,650,"[4, 7, 10, 13, 16, 19]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,1,561
RS0175,bit05,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,650,"[4, 7, 10, 13, 16, 19]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,1,561
RS0237,bit06,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,750,"[3, 6,  9, 12, 15, 18]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,1,561
RS0247,bit07,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,2,650,"[4, 7, 10, 13, 16, 19]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,1,561
RS0255,bit08,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,2,750,"[3, 6,  9, 12, 15, 18]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,1,561
RS0307,bit09,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,3,750,"[3, 6,  9, 12, 15, 18]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,1,561
RS0332,bit10,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,3,650,"[4, 7, 10, 13, 16, 19]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,1,561
RS0343,bit11,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),11,4,650,"[4, 7, 10, 13, 16, 19]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,1,561
RS0384,bit12,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),12,4,750,"[3, 6,  9, 12, 15, 18]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,1,561
RS0406,bit13,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),13,5,650,"[4, 7, 10, 13, 16, 19]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,561
RS0451,bit14,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),14,5,750,"[3, 6,  9, 12, 15, 18]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,561
RS0468,bit15,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),15,6,750,"[3, 6,  9, 12, 15, 18]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,561
RS0548,bit16,hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),16,6,650,"[4, 7, 10, 13, 16, 19]","[1.5, 3.0, 4.5, 6.0, 7.5, 9.0]",hal,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,561
