readoutName,channelName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
RS0015,bit1,Hal_config_750s7_650s7_560s1_488s7_405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,0,650,"[7, 8, 9, 10, 11, 12, 13]","[9.0, 7.5, 6.0, 4.5, 3.0, 1.5, 0.0]",Hal_config_750s7_650s7_560s1_488s7_405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
RS0083,bit2,Hal_config_750s7_650s7_560s1_488s7_405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,0,750,"[0, 1, 2, 3, 4, 5, 6]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0 ]",Hal_config_750s7_650s7_560s1_488s7_405s7,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
RS0095,bit3,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,0,750,"[0, 1, 2, 3, 4, 5, 6]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0 ]",Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
RS0109,bit4,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),4,0,650,"[7, 8, 9, 10, 11, 12, 13]","[9.0, 7.5, 6.0, 4.5, 3.0, 1.5, 0.0]",Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),0,14,561
RS0175,bit5,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),5,1,650,"[7, 8, 9, 10, 11, 12, 13]","[9.0, 7.5, 6.0, 4.5, 3.0, 1.5, 0.0]",Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,14,561
RS0237,bit6,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),6,1,750,"[0, 1, 2, 3, 4, 5, 6]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0 ]",Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),1,14,561
RS0247,bit7,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),7,2,650,"[7, 8, 9, 10, 11, 12, 13]","[9.0, 7.5, 6.0, 4.5, 3.0, 1.5, 0.0]",Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,14,561
RS0255,bit8,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),8,2,750,"[0, 1, 2, 3, 4, 5, 6]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0 ]",Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),2,14,561
RS0307,bit9,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),9,3,750,"[0, 1, 2, 3, 4, 5, 6]","[0.0, 1.5, 3.0, 4.5, 6.0, 7.5, 9.0 ]",Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,14,561
RS0332,bit10,Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),10,3,650,"[7, 8, 9, 10, 11, 12, 13]","[9.0, 7.5, 6.0, 4.5, 3.0, 1.5, 0.0]",Hal_config_750s7_650s7_560s1,(?P<imageType>[\w|-]+)_(?P<fov>[0-9]+)_(?P<imagingRound>[0-9]+),3,14,561
