version,1
codebook_name, M9E1
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548
name, id, barcode
Ahr,NM_001314027, 0  0  0  0  1  1  0  0  0  1  0  0  1  0  0  0
Bcl6,NM_009744, 1  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0
Kit,NM_021099, 0  1  0  0  0  1  0  0  0  0  0  0  0  1  1  0
Itgam,NM_001082960, 1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  1
Itgax,NM_021334, 0  0  1  1  0  0  1  0  0  0  0  0  0  0  0  1
Il3ra,NM_008369, 0  0  0  0  0  0  1  0  0  0  0  1  1  1  0  0
Tnfrsf9,NM_001077509, 0  1  0  0  0  0  1  0  0  0  1  0  0  0  1  0
Sdc1,NM_011519, 0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  1
Cd14,NM_009841, 1  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0
Ctla4,NM_009843, 0  0  0  1  1  1  0  0  0  0  0  0  0  1  0  0
Cd163,NM_053094, 0  0  0  0  1  1  1  0  0  0  0  0  0  0  1  0
Siglece,NM_031181, 1  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1
Cxcr3,NM_009910, 0  0  0  0  0  0  0  1  1  0  0  1  0  0  0  1
Cxcr5,NM_007551, 1  0  0  1  0  0  1  0  1  0  0  0  0  0  0  0
Ccr3,NM_009914, 0  1  0  0  0  0  1  1  1  0  0  0  0  0  0  0
Ccr6,NM_009835, 1  0  0  0  1  0  0  1  0  0  0  0  0  0  1  0
Ccr7,NM_001301713, 0  0  0  0  1  1  0  0  1  0  0  0  0  0  0  1
Ms4a1,NM_007641, 0  0  0  1  0  1  0  1  1  0  0  0  0  0  0  0
Ly75,NM_013825, 0  0  0  0  0  0  1  1  0  0  1  0  0  0  0  1
Cd207,NM_144943, 0  1  0  0  0  0  0  0  1  0  0  1  0  0  1  0
Il12rb1,NM_008353, 0  0  0  1  0  0  0  1  0  0  0  1  0  1  0  0
Lag3,NM_008479, 0  0  0  0  0  0  1  1  0  1  0  0  0  1  0  0
Fcer2a,NM_013517, 0  1  1  1  0  0  0  0  0  0  0  1  0  0  0  0
Il2ra,NM_008367, 0  0  0  1  0  0  0  0  0  0  0  1  1  0  1  0
Btla,NM_177584, 0  0  0  0  0  1  0  0  0  0  1  1  1  0  0  0
Icos,NM_017480, 0  1  0  0  0  0  1  0  0  0  0  1  0  0  0  1
Pdcd1,NM_008798, 1  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0
Ptgdr2 ,NM_009962, 0  1  0  0  0  0  0  0  0  1  1  0  1  0  0  0
Nrp1,NM_008737, 0  0  1  0  0  1  1  0  0  0  0  1  0  0  0  0
Pecam1,NM_001305157, 1  0  0  0  0  0  0  1  0  0  1  0  0  1  0  0
Fcgr2b,NM_001077189, 1  0  0  0  0  0  0  0  1  1  0  1  0  0  0  0
Cr2,NM_007758, 0  0  1  0  0  0  1  0  0  0  1  0  1  0  0  0
Havcr2,NM_134250, 0  0  0  0  0  1  1  0  1  0  0  0  1  0  0  0
Cd38,NM_007646, 0  0  1  0  0  0  0  1  0  0  0  0  1  0  0  1
Cd44,NM_001177787, 0  0  0  0  1  1  0  1  0  0  0  1  0  0  0  0
Itga2,NM_008396, 0  0  0  0  1  0  0  1  1  0  0  0  0  1  0  0
Icam1,NM_010493, 0  0  0  0  0  0  1  0  0  1  0  0  1  0  1  0
Sell,NM_001164059, 0  0  0  0  0  0  0  0  0  0  1  1  0  0  1  1
Ceacam1,NM_001039186, 0  0  1  0  0  0  0  0  0  0  1  1  0  1  0  0
Cd80,NM_009855, 0  1  0  1  0  0  0  0  1  0  0  0  1  0  0  0
Cd86,NM_019388, 1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1
Foxp3,NM_001199348, 0  0  1  0  1  0  0  0  0  1  0  0  0  1  0  0
Gata3,NM_001355112, 0  0  0  1  0  0  1  0  0  1  0  1  0  0  0  0
Ido1,NM_001293690, 0  0  0  1  0  1  0  0  0  0  1  0  0  0  1  0
Il1a,NM_010554, 0  0  1  0  1  0  0  0  0  0  0  1  0  0  1  0
Il12b,NM_001303244, 1  0  0  1  0  0  0  0  0  0  1  1  0  0  0  0
Il21,NM_021782, 1  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0
Il17re,NM_145826, 1  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0
Il1rl1,NM_001294171, 0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1
Il5,NM_010558, 1  0  0  0  0  0  0  1  1  0  0  0  1  0  0  0
Nos2,NM_010927, 0  0  1  1  0  0  0  1  0  0  1  0  0  0  0  0
Prf1,NM_011073, 0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0
Rora,NM_013646, 0  0  0  0  0  0  1  0  1  0  1  1  0  0  0  0
Rorc,NM_001293734, 0  1  0  0  1  0  0  1  0  1  0  0  0  0  0  0
Siglech,NM_001310738, 0  0  0  1  0  1  0  0  0  0  0  1  0  0  0  1
Tbx21,NM_019507, 0  0  1  0  0  0  0  1  1  1  0  0  0  0  0  0
Tnf,NM_013693, 1  0  0  0  0  1  0  0  0  0  0  1  0  0  1  0
Cd40,NM_011611, 0  0  1  0  1  0  0  0  0  0  1  0  0  0  0  1
Cd274,NM_021893, 0  0  0  0  0  0  0  0  1  1  0  0  1  0  0  1
Cd244,NM_018729, 1  0  1  1  0  0  0  0  0  0  0  0  0  1  0  0
Cd160,NM_001163496, 0  0  1  0  0  1  0  1  0  0  0  0  0  0  1  0
